id|tweet_text|text|emojis|sentiment_label|emoji_labelsarcasm_label
1191929120692801537|@NoWiwiNoWowo @emang_bacin @awans3nja @AbuAlRayyan1 @Restichayah @adearmando1 @aniesbaswedan @jokowi @DivHumas_Polri @CCICPolri Manusia sampah, goglingnya sampah juga 😂😂|manusia sampah googling sampah|😂,😂|0|1|1
1191859452493746176|KompasTV Perang dagang negara Adidaya USA-RRC makin sengit aja, ekonomi dunia akan amburadul, seharusnya Jokowi cs bersyukur masih ada orang seperti Terawan yg bikin Keajaiban memihak dalam kehidupan negara ini. 😁😁😁|kompas perang dagang negara adidaya sengit ekonomi dunia amburadul jokowi syukur orang awan bikin ajaib hidup negara|😁,😁,😁|0|1|1
1192415629455712256|"@jokowi Kayak DKI pak anggaran gak jelas , tertutup tidak transparan terindikasi korupsi .
Pasar ruwet ,   PKL di trotoar ,  macet dimana mana  😂 cocok dicontoh 😂🙏🙏🙏🙏🙏"|kayak anggar tutup transparan indikasi korupsi pasar ruwet trotoar macet cocok contoh|😂,😂,🙏,🙏,🙏,🙏,🙏|0|1|1
1192590983470338048|@geloraco Si bangsat PSI pendukung jokowi ahok itu ya  ...😂😂😂|bangsat psi dukung jokowi ahok|😂,😂,😂|0|1|1
1191241551009107969|@RamliRizal @jokowi Mereka tdk akn peduli dg rakyat.. yg penting perut ATM&amp; dompet mereka penuh. Manusia² serakah 😡😡|peduli rakyat perut dompet penuh manusia serakah|😡,😡|0|2|0
1192429247350001664|"@snjayajonggrang @zulfikar_husein @MurtadhaOne1 @jokowi @KHMarufAmin_ @GeneralMoeldoko @DivHumas_Polri @kemkominfo @tempodotco @BadjaNuswantara @sunarwidjaja @V_Stone_Kardol @HmfaqihA @permadiaktivis @Airin_NZ Itulah politikus yang tidak pernah puas dan tidak untuk mencari kesejahteraan bangsa Indonesia. 

👍😅👍😂👍😅👍😂"|politikus puas cari sejahtera bangsa indonesia|👍,😅,👍,😂,👍,😅,👍,😂|0|1|1
1191402941921427457|@Jongenen_lekker @syarikitalaika @lidyadey Iya kayak pak Jokowi jadi presiden dan pak Prabowo jadi pembantu presiden itu kehendak Allah. Faham?? 😂😂😂|iya kayak jokowi presiden prabowo bantu presiden alah paham|😂,😂,😂|0|1|1
1191991360720519168|@KalimahLayang @jokowi @basuki_btp Pengemar TAI..🤣🤣🤣|mar kotor|🤣,🤣,🤣|0|1|1
1190621996159098881|"Kapolri Baru jenderal Bp. Idham Azis Kami Yakin Akan Menindaklanjuti &amp; Memproses Ade Armando Yg Menghina Gubernur DKI Jakarta Anis Baswedan.
Jadi 👇👇👇👇👇👇
#TangkapAdeArmando 
#TangkapAdeArmando https://t.co/JObhdcgIe7"|kapolri jenderal idham azis menindaklanjuti proses armando hina gubernur jakarta anis baswedan|👇,👇,👇,👇,👇,👇|1|2|0
1191673337254072322|@fadlizon sabar mas, yakin aja adanya pak prabowo dipemerintahan sekarang bisa menaikan ekonomi indonesia. seperti omongan blio 😁✌|sabar mas prabowo perintah ekonomi indonesia omong beliau|😁,✌|1|1|0
1190082407732396032|"Baru dilantik uudah ributin gaji, Sini bilang ""Gajinya gak akan diambil"", Situ bilang: ""Gua Ambil Kok"". Sono Bilang ; Dia ambil tapi akan disumbangkan.. 
Haduehh pabalieut 😋😂 

Gerindra: Prabowo Terima Gaji Bukan untuk Pribadi Tapi Akan Disumbangkan https://t.co/kqB0V5IfKO"|lantik ribut gaji bilang gaji ambil situ bilang gua ambil sono bilang ambil sumbang haduh pabalieut gerindra prabowo terima gaji pribadi sumbang|😋,😂|1|1|0
1191170849614622721|@VesalHakim @hnurwahid @jokowi Goblok banget otak😂😂|goblok banget otak|😂,😂|0|1|1
1191360862579085317|"@WagimanDeep @prabowo Waduh brati disana slama enih mbabu buat bayar overstay nya😂😂

#KhilafahOutNKRImaju"|arti enih budak bayar overstay|😂,😂|0|1|1
1193018817737134080|"@WagimanDeep @fahiraidris @jokowi Ini contoh perempuan yg kalo lagi ML berisiknya minta ampun...
Teriak ohhh yesss ohhh noo oohh god oohh mbut..
Padahal aslinya kurang menikmati..😁😁😁😁"|contoh perempuan berisik ampun teriak bagus jembut asli nikmat|😁,😁,😁,😁|0|1|1
1191480722709602304|"@Anna_MaSue @aksioma02 bahasa jaman PYM Jokowi emang mantap jiwa 🤣😎😊

Kenaikan = Penyesuaian
Pinjaman / Hutang = Bantuan 
Impor = Memenuhi kebutuhan 

#TangkapAdeArmando 
#BubarkanBPJS"|bahasa jaman jokowi emang mantap jiwa sesuai pinjam hutang bantu impor penuh butuh|🤣,😎,😊|0|1|1
1191622972169060352|@gorenganlyfe @Defacer20 @prayudiputras @Lianashafa1 @detikcom @jokowi @prabowo Ya saya faham...mungkin argumen mu mentok 🤭🤭🤭|paham argumen mu mentok|🤭,🤭,🤭|0|1|1
1192241510411931648|@DheaMerlinda @prabowo @Kemhan_RI Bapak Prabowo... Sehat selalu ya pak 👍🙏|prabowo sehat|👍,🙏|1|2|0
1192273038646972417|@BeibbyV @msaid_didu @prabowo Ha...ha...ha... Woles aja. Ngapain dengki sama kakek tua. Saya hanya bernarasi soal dia. Selalu serang pemerintah tapi cari makan dalam pemerintah... Otak kau yg ga nalar... Paham kau 😀😀😀|ha ha ha santai dengki kakek tua narasi serang perintah cari makan perintah otak kau nalar paham kau|😀,😀,😀|0|1|1
1192645602019962880|Tenang Pak Jokowi akan bangun Ibu Kota mengalahi Dubai..😂😂😂... ntar semua Jalan akan dikasih ATAP..dihiasi taman indah2...beserta kolam2 indah yg dipasang ATAP juga biar Bong berenang tdk basah kehujanan..🤣🤣🤣 https://t.co/8CQp6WDE6v|tenang jokowi bangun kota kalah dubai jalan kasih atap hias taman indah kolam indah pasang atap biar bong renang basah hujan|😂,😂,😂,🤣,🤣,🤣|0|1|1
1192573835121291264|"@jeffpapilaya @diahkum72862696 @jokowi masalahnya pedukung pemerintah orkay semua bang 🤣🤣
mereka ga tau semua pd naik..
pemerintah hutang tp kok tetep malakin rakyat
coba jabarkan 5thn utang untuk apa? nyekek apa sejahtra 🤣"|dukung perintah orkay bang tau perintah hutang paksa rakyat coba jawa barat utang tekik sejahtera|🤣,🤣,🤣|1|1|0
1191205292605759488|@RamliRizal @jokowi Ngga tau saya, ngga ngerti saya, coba tanya mentrinya 😃😃|tau erti coba|😃,😃|1|1|0
1192721766751227905|"@suryadelalu @prabowo Tapi kan Ust, Pancasila sbg dasar negara Indonesia tdk bisa diubah lagi. 
Beda halnya dengan konstitusi, misal
1. UUD 1945, bisa diubah sesuai dengan tuntutan. 
2. Wilayah NKRI ? Sudah berubah.
3. Rakyat ? Sudah terpecah. 🤭

Apa masih bisa dikatakan yg itu adlh dasar Negara ? 🙏"|ustad pancasila dasar negara indonesia ubah beda konstitusi ubah sesuai tuntut wilayah nkri ubah rakyat pecah dasar negara|🤭,🙏|1|1|0
1191260023030079488|"@aignatd @faizalassegaf @jokowi yang ada 200 sekolam.. 
maennya jauhan lgi bong upss tong.. 😂😂🤣"|kolam mai bong tong|😂,😂,🤣|0|1|1
1192380566076706816|"@benibahtiar19 @KanjengRatuAyu1 @jokowi Mas @benibahtiar19 yg goblok 😂🤭🤣🤭 sampai detik ini saya menunggu jawaban Anda? 
U bilang ada investor yang bayar tanpa menggunakan dana APBN? Sebutkan perusahaan itu?"|mas goblok detik tunggu bilang investor bayar dana apbn usaha|😂,🤭,🤣,🤭|1|1|0
1189918771697209344|@Dahnilanzar @Kemhan_RI @prabowo Terlanjur malu kau rupanya 🤣🤣🤣🤣|lanjur malu kau rupa|🤣,🤣,🤣,🤣|0|1|1
1190138161952772096|@DimasPermana817 @Dahnilanzar @Kemhan_RI @prabowo @jokowi @KSPgoid Herman lihat orang2+062 gaji orang.yg gk membahayakan negara diributin.BISUL loe..👂👌|herman lihat orang gaji orang bahaya negara ribut bisul|👂,👌|0|1|1
1191511245108609024|@DonAdam68 Kalo cuma ngomong kayak pak jokowi kita juga bisa ya 😄😄😄😄.|bicara kayak jokowi|😄,😄,😄,😄|0|1|1
1192827098471157760|@JMandiri01 @Udonudon14 @filosofiksi @Dahnilanzar @prabowo ngomongin ka. pung kumuh? siapa yg dulu janji mau bikin kampung deret😂😂😂|ka pung kumuh janji bikin kampung deret|😂,😂,😂|0|1|1
1189849520764383235|@Dahnilanzar @Kemhan_RI @prabowo Alhamdulillah memang sudah hak nya pak @prabowo Kalo kerja ya mendapat gaji 😄😄😄|alhamdulillah hak kerja gaji|😄,😄,😄|1|1|0
1192858299953074176|"@Kemhan_RI @prabowo Istana Negara Pindah Kemana...🤔

Wahhh ini mah sangat radikul banget 🙊😄

Baru jadi Menhan rasanya sejuk dan nyaman banget pak @prabowo 😍😊

Sukses dan sehat selalu yg berada Dilingkungan @Kemhan_RI 🙏🏻🙏🏻"|istana negara pindah radikal banget menteri tahan sejuk nyaman banget sukses sehat lingkung|🤔,🙊,😄,😍,😊,🙏,🏻,🙏,🏻|1|1|0
1191859594219274241|"@Chonycon Biar mlek 🤪🔨
https://t.co/WA2RPVQPiJ"|biar melek|🤪,🔨|0|2|0
1192862906536222725|@DandanNiLL @Benzichydi @Zaafaramdhan @yangkalem_ @_terussiapa @Kecoatongseng @Tomysahara @PanggilAjaRiq @DivHumas_Polri @jokowi @mohmahfudmd @rockygerung @putrasancha @Agnessrii @mahardinaaa @Acucanci @62Egi @HendraBudiana @tapiroje @ariyanisetiya_d @vivi_maulidah15 @fifybebby @vanadiarahayuu @Citra_Elraza @Firkubo_ @Alakatur_ @alatuyul_ @agrah21 @AL_Hakimmmm @tenangadaku @Irvnirgsri1 @kumparan @KompasTV @TMCPoldaMetro @KPK_RI @smartfrenworld @azzamsyauqi_ @autobotaja @siradj_abdullah @sadgurlevryday @aliwafaa_29 @Ainurrydho @arghabercanda @iskapulhusni22 @Nurkhopifah27 @azzra_ra @apasikamuni @_xsunrise_ @KCahyani12 @cinamelayuu Blm tidur anjg😭😭🤦|tidur anjing|😭,😭,🤦|0|0|0
1192040309481324545|k heran heran terus sih pak, udahan makanya jd presiden. atau sy gelari presiden super heran 😂😂😂😂 https://t.co/E4lHe8qp2K|heran heran presiden gelar presiden super heran|😂,😂,😂,😂|0|1|1
1191188797683167232|"Beginilah pekerjaan lembaga survey indonesia bila proyek belum turun 😱😡🤔

Kepuasan demokrasi pada September 2019 di angka sekitar 70 persen. Sebenarnya agak menurun dibandingkan tahun 2018,” ujar Djayadi di Menteng, Jakarta Pusat, Ahad (3/11). https://t.co/KDzHRpf0bQ"|kerja lembaga survei indonesia proyek turun puas demokrasi september angka persen turun banding djayadi menteng jakarta pusat minggu|😱,😡,🤔|0|0|0
1192113911081754624|@ernawati_sn @helmifelis nyatanya lu ditinggal pak prabowo, itu menandakan otak lu gak kepakai, DUNGU! 😂. emng betul definisi DUNGU, salah satunya GANTI TEMPURUNG 😂 GAK GUNA LU!|nyata tinggal prabowo tanda otak pakai dungu definisi dungu salah ganti tempurung|😂,😂|0|1|1
1192793093801512961|"@semproelz Alergi sama arab tapi ngarep investasinya, bgitu investasinya kecil...eeh nyesel udah mayungin Raja Salman😂😂
#RadikalNutupIsuEkonomi
#RadikalNutupIsuEkonomi

https://t.co/wJfCGwMTQI"|alergi arab harap investasi investasi eh kecewa payung raja salman|😂,😂|0|1|1
